Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-31 11:56:27,ouster,100.54%,47.82MiB / 30.66GiB,0.15%,0B / 0B,0B / 1.28MB,13
2026-07-31 11:56:27,scovox,138.11%,38.04MiB / 30.66GiB,0.12%,0B / 0B,0B / 688kB,4
2026-07-31 11:56:27,domain_bridge,197.13%,41.68MiB / 30.66GiB,0.13%,0B / 0B,0B / 111kB,10
2026-07-31 11:56:27,openzen,20.70%,32.38MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:27,mapir-ffmpeg,103.14%,124.2MiB / 30.66GiB,0.40%,0B / 0B,0B / 909kB,32
2026-07-31 11:56:27,realsense,102.19%,34.82MiB / 30.66GiB,0.11%,0B / 0B,0B / 197kB,3
2026-07-31 11:56:27,nav2,46.84%,110.9MiB / 30.66GiB,0.35%,0B / 0B,0B / 1.13MB,90
2026-07-31 11:56:27,glim,99.46%,81.95MiB / 30.66GiB,0.26%,0B / 0B,0B / 11MB,20
2026-07-31 11:56:27,docker-recorder-run-d1d94bfeaf81,84.93%,27.06MiB / 30.66GiB,0.09%,0B / 0B,0B / 0B,2
2026-07-31 11:56:32,docker-recorder-run-d1d94bfeaf81,69.22%,41.3MiB / 30.66GiB,0.13%,0B / 0B,0B / 0B,16
2026-07-31 11:56:32,glim,118.98%,153.8MiB / 30.66GiB,0.49%,0B / 0B,0B / 11MB,35
2026-07-31 11:56:32,ouster,8.47%,116.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.9MB,29
2026-07-31 11:56:32,scovox,9.28%,155.1MiB / 30.66GiB,0.49%,0B / 0B,0B / 1.02MB,53
2026-07-31 11:56:32,domain_bridge,135.98%,47.55MiB / 30.66GiB,0.15%,0B / 0B,0B / 766kB,7
2026-07-31 11:56:32,openzen,4.30%,31.65MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:32,mapir-ffmpeg,31.29%,165.7MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-31 11:56:32,realsense,18.72%,90.91MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-31 11:56:32,nav2,1.60%,118.7MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.13MB,91
2026-07-31 11:56:35,docker-recorder-run-d1d94bfeaf81,161.15%,40.01MiB / 30.66GiB,0.13%,0B / 0B,0B / 0B,11
2026-07-31 11:56:35,glim,99.98%,263.3MiB / 30.66GiB,0.84%,0B / 0B,0B / 11MB,35
2026-07-31 11:56:35,ouster,6.89%,116.9MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.9MB,29
2026-07-31 11:56:35,scovox,60.42%,259.6MiB / 30.66GiB,0.83%,0B / 0B,0B / 1.02MB,53
2026-07-31 11:56:35,domain_bridge,42.19%,55.98MiB / 30.66GiB,0.18%,0B / 0B,0B / 831kB,6
2026-07-31 11:56:35,openzen,3.43%,32.22MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:35,mapir-ffmpeg,28.96%,166MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-31 11:56:35,realsense,16.73%,90.66MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-31 11:56:35,nav2,5.16%,120.4MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.13MB,92
2026-07-31 11:56:38,docker-recorder-run-d1d94bfeaf81,101.30%,42.66MiB / 30.66GiB,0.14%,0B / 0B,28.7kB / 61.4kB,11
2026-07-31 11:56:38,glim,129.94%,296.4MiB / 30.66GiB,0.94%,0B / 0B,0B / 11MB,35
2026-07-31 11:56:38,ouster,6.94%,116.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.9MB,29
2026-07-31 11:56:38,scovox,114.74%,522.1MiB / 30.66GiB,1.66%,0B / 0B,0B / 1.02MB,53
2026-07-31 11:56:38,domain_bridge,101.99%,51.35MiB / 30.66GiB,0.16%,0B / 0B,0B / 905kB,4
2026-07-31 11:56:38,openzen,3.53%,31.54MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:38,mapir-ffmpeg,28.74%,165.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-31 11:56:38,realsense,17.04%,91.2MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-31 11:56:38,nav2,5.69%,119.1MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.13MB,92
2026-07-31 11:56:41,docker-recorder-run-d1d94bfeaf81,131.51%,43.98MiB / 30.66GiB,0.14%,0B / 0B,160kB / 61.4kB,11
2026-07-31 11:56:41,glim,101.41%,304.9MiB / 30.66GiB,0.97%,0B / 0B,0B / 11MB,35
2026-07-31 11:56:41,ouster,7.70%,117.4MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.9MB,29
2026-07-31 11:56:41,scovox,108.46%,573.7MiB / 30.66GiB,1.83%,0B / 0B,0B / 1.02MB,53
2026-07-31 11:56:41,domain_bridge,71.09%,47.75MiB / 30.66GiB,0.15%,0B / 0B,0B / 930kB,28
2026-07-31 11:56:41,openzen,3.81%,33.11MiB / 30.66GiB,0.11%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:41,mapir-ffmpeg,29.21%,167MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-31 11:56:41,realsense,17.50%,91.04MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-31 11:56:41,nav2,5.18%,119.3MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.13MB,92
2026-07-31 11:56:44,docker-recorder-run-d1d94bfeaf81,67.72%,10.99MiB / 30.66GiB,0.04%,0B / 0B,160kB / 233kB,2
2026-07-31 11:56:44,glim,93.88%,305.2MiB / 30.66GiB,0.97%,0B / 0B,0B / 11MB,35
2026-07-31 11:56:44,ouster,6.55%,117.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.9MB,29
2026-07-31 11:56:44,scovox,124.40%,603.8MiB / 30.66GiB,1.92%,0B / 0B,0B / 1.02MB,53
2026-07-31 11:56:44,domain_bridge,0.44%,54.85MiB / 30.66GiB,0.17%,0B / 0B,0B / 930kB,28
2026-07-31 11:56:44,openzen,3.36%,32.14MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 11:56:44,mapir-ffmpeg,28.11%,166.1MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-31 11:56:44,realsense,16.80%,91.57MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-31 11:56:44,nav2,5.29%,120MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.13MB,92
2026-07-31 11:56:47,docker-recorder-run-d1d94bfeaf81,0.00%,10.52MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,2
2026-07-31 11:56:47,glim,95.98%,312.7MiB / 30.66GiB,1.00%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:56:47,ouster,6.12%,116.4MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:56:47,scovox,115.91%,588.7MiB / 30.66GiB,1.88%,0B / 0B,0B / 3.51MB,53
2026-07-31 11:56:47,domain_bridge,0.98%,73.15MiB / 30.66GiB,0.23%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:56:47,openzen,2.99%,31.45MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:56:47,mapir-ffmpeg,27.68%,165.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:56:47,realsense,16.58%,90.89MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:56:47,nav2,6.16%,119.8MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:56:47,trav_ros2,100.76%,38.83MiB / 30.66GiB,0.12%,0B / 0B,0B / 61.4kB,3
2026-07-31 11:56:51,docker-recorder-run-d1d94bfeaf81,0.00%,10.52MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,2
2026-07-31 11:56:51,glim,89.45%,329.3MiB / 30.66GiB,1.05%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:56:51,ouster,7.33%,117.2MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:56:51,scovox,116.20%,590.4MiB / 30.66GiB,1.88%,0B / 0B,0B / 3.52MB,53
2026-07-31 11:56:51,domain_bridge,1.38%,74.28MiB / 30.66GiB,0.24%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:56:51,openzen,2.59%,32.34MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:56:51,mapir-ffmpeg,28.44%,166.8MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:56:51,realsense,16.79%,91.33MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:56:51,nav2,5.49%,122.6MiB / 30.66GiB,0.39%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:56:54,docker-recorder-run-d1d94bfeaf81,0.65%,10.62MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,1
2026-07-31 11:56:54,glim,89.98%,335.4MiB / 30.66GiB,1.07%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:56:54,ouster,7.20%,117.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:56:54,scovox,106.36%,645.1MiB / 30.66GiB,2.05%,0B / 0B,0B / 3.52MB,53
2026-07-31 11:56:54,domain_bridge,0.79%,74.89MiB / 30.66GiB,0.24%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:56:54,openzen,2.70%,31.89MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:56:54,mapir-ffmpeg,29.16%,166.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:56:54,realsense,16.88%,92.1MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:56:54,nav2,6.12%,121.6MiB / 30.66GiB,0.39%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:56:57,docker-recorder-run-d1d94bfeaf81,0.00%,10.32MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,1
2026-07-31 11:56:57,glim,90.22%,346.9MiB / 30.66GiB,1.10%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:56:57,ouster,7.03%,117.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:56:57,scovox,118.01%,638.8MiB / 30.66GiB,2.03%,0B / 0B,0B / 3.52MB,53
2026-07-31 11:56:57,domain_bridge,2.88%,75.9MiB / 30.66GiB,0.24%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:56:57,openzen,2.84%,32.14MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:56:57,mapir-ffmpeg,28.90%,166.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:56:57,realsense,16.99%,91.37MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:56:57,nav2,7.03%,122MiB / 30.66GiB,0.39%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:56:57,trav_ros2,94.72%,113.3MiB / 30.66GiB,0.36%,0B / 0B,0B / 8.19kB,44
2026-07-31 11:57:01,trav_ros2,37.47%,128.5MiB / 30.66GiB,0.41%,0B / 0B,0B / 8.19kB,44
2026-07-31 11:57:01,docker-recorder-run-d1d94bfeaf81,0.00%,10.32MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,1
2026-07-31 11:57:01,glim,95.19%,335.8MiB / 30.66GiB,1.07%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:57:01,ouster,7.61%,119MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:57:01,scovox,117.58%,640.4MiB / 30.66GiB,2.04%,0B / 0B,0B / 3.52MB,53
2026-07-31 11:57:01,domain_bridge,1.41%,74.88MiB / 30.66GiB,0.24%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:57:01,openzen,2.81%,32.92MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:57:01,mapir-ffmpeg,28.42%,168.4MiB / 30.66GiB,0.54%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:57:01,realsense,17.08%,92.58MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:57:01,nav2,7.66%,126.2MiB / 30.66GiB,0.40%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:57:05,trav_ros2,36.97%,129.5MiB / 30.66GiB,0.41%,0B / 0B,0B / 8.19kB,44
2026-07-31 11:57:05,docker-recorder-run-d1d94bfeaf81,0.00%,10.32MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,1
2026-07-31 11:57:05,glim,90.19%,336.3MiB / 30.66GiB,1.07%,0B / 0B,0B / 11.6MB,35
2026-07-31 11:57:05,ouster,7.64%,118.9MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.91MB,29
2026-07-31 11:57:05,scovox,105.81%,663.7MiB / 30.66GiB,2.11%,0B / 0B,0B / 3.52MB,53
2026-07-31 11:57:05,domain_bridge,0.33%,74.92MiB / 30.66GiB,0.24%,0B / 0B,0B / 5.07MB,28
2026-07-31 11:57:05,openzen,2.60%,32.44MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-31 11:57:05,mapir-ffmpeg,28.12%,167.7MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-31 11:57:05,realsense,17.13%,91.86MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.28MB,33
2026-07-31 11:57:05,nav2,5.71%,124.8MiB / 30.66GiB,0.40%,0B / 0B,0B / 1.18MB,92
2026-07-31 11:57:08,trav_ros2,36.78%,129.2MiB / 30.66GiB,0.41%,0B / 0B,0B / 8.19kB,44
2026-07-31 11:57:08,docker-recorder-run-d1d94bfeaf81,0.00%,10.32MiB / 30.66GiB,0.03%,0B / 0B,160kB / 9.45MB,1
2026-07-31 11:57:08,glim,89.79%,336.4MiB / 30.66GiB,1.07%,0B / 0B,0B / 11.6MB,35
