Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-29 20:13:14,ouster,118.68%,60.03MiB / 30.66GiB,0.19%,0B / 0B,56.8MB / 111kB,6
2026-07-29 20:13:14,scovox,150.53%,42.4MiB / 30.66GiB,0.14%,0B / 0B,22.7MB / 41kB,5
2026-07-29 20:13:14,trav_ros2,123.34%,49.25MiB / 30.66GiB,0.16%,0B / 0B,28.2MB / 61.4kB,5
2026-07-29 20:13:14,realsense,105.58%,41.49MiB / 30.66GiB,0.13%,0B / 0B,13.8MB / 36.9kB,5
2026-07-29 20:13:14,openzen,31.16%,30.49MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:14,mapir-ffmpeg,115.79%,148.9MiB / 30.66GiB,0.47%,0B / 0B,44.2MB / 561kB,32
2026-07-29 20:13:14,nav2,98.53%,115.5MiB / 30.66GiB,0.37%,0B / 0B,35.8MB / 0B,90
2026-07-29 20:13:14,glim,81.07%,62.05MiB / 30.66GiB,0.20%,0B / 0B,47MB / 98.3kB,21
2026-07-29 20:13:14,docker-recorder-run-55cb2554103c,323.25%,45.77MiB / 30.66GiB,0.15%,0B / 0B,14.5MB / 0B,12
2026-07-29 20:13:17,docker-recorder-run-55cb2554103c,7.40%,11.52MiB / 30.66GiB,0.04%,0B / 0B,25.1MB / 233kB,2
2026-07-29 20:13:17,ouster,6.53%,150.7MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:17,scovox,4.49%,155.1MiB / 30.66GiB,0.49%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:17,trav_ros2,15.39%,260.1MiB / 30.66GiB,0.83%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:17,realsense,42.66%,108.5MiB / 30.66GiB,0.35%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:17,openzen,5.09%,31.09MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:17,mapir-ffmpeg,28.16%,192.6MiB / 30.66GiB,0.61%,0B / 0B,44.2MB / 561kB,33
2026-07-29 20:13:17,nav2,2.12%,125.9MiB / 30.66GiB,0.40%,0B / 0B,35.8MB / 0B,90
2026-07-29 20:13:17,glim,37.70%,103.2MiB / 30.66GiB,0.33%,0B / 0B,47MB / 98.3kB,22
2026-07-29 20:13:20,docker-recorder-run-55cb2554103c,0.00%,10.77MiB / 30.66GiB,0.03%,0B / 0B,25.1MB / 233kB,2
2026-07-29 20:13:20,ouster,9.81%,151.2MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:20,scovox,6.49%,136.1MiB / 30.66GiB,0.43%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:20,trav_ros2,112.75%,371.4MiB / 30.66GiB,1.18%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:20,realsense,38.98%,108MiB / 30.66GiB,0.34%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:20,openzen,5.22%,31.48MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:20,mapir-ffmpeg,28.86%,192.4MiB / 30.66GiB,0.61%,0B / 0B,44.2MB / 561kB,33
2026-07-29 20:13:20,nav2,13.92%,137.7MiB / 30.66GiB,0.44%,0B / 0B,35.9MB / 0B,92
2026-07-29 20:13:20,glim,63.62%,223MiB / 30.66GiB,0.71%,0B / 0B,47MB / 98.3kB,37
2026-07-29 20:13:23,docker-recorder-run-55cb2554103c,0.00%,10.77MiB / 30.66GiB,0.03%,0B / 0B,25.1MB / 233kB,2
2026-07-29 20:13:23,ouster,8.13%,151.9MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:23,scovox,65.52%,288.5MiB / 30.66GiB,0.92%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:23,trav_ros2,117.51%,406.5MiB / 30.66GiB,1.29%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:23,realsense,27.59%,107.6MiB / 30.66GiB,0.34%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:23,openzen,5.12%,31.52MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:23,mapir-ffmpeg,29.35%,193.2MiB / 30.66GiB,0.62%,0B / 0B,44.2MB / 561kB,33
2026-07-29 20:13:23,nav2,14.31%,138.6MiB / 30.66GiB,0.44%,0B / 0B,35.9MB / 0B,92
2026-07-29 20:13:23,glim,80.44%,290.9MiB / 30.66GiB,0.93%,0B / 0B,47MB / 98.3kB,37
2026-07-29 20:13:26,docker-recorder-run-55cb2554103c,0.22%,10.79MiB / 30.66GiB,0.03%,0B / 0B,25.2MB / 233kB,1
2026-07-29 20:13:26,ouster,6.92%,150.8MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:26,scovox,76.49%,257.4MiB / 30.66GiB,0.82%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:26,trav_ros2,110.44%,401.7MiB / 30.66GiB,1.28%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:26,realsense,42.08%,107.3MiB / 30.66GiB,0.34%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:26,openzen,5.23%,31.52MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:26,mapir-ffmpeg,28.72%,192.5MiB / 30.66GiB,0.61%,0B / 0B,44.2MB / 561kB,33
2026-07-29 20:13:26,nav2,12.91%,138.6MiB / 30.66GiB,0.44%,0B / 0B,35.9MB / 0B,92
2026-07-29 20:13:26,glim,69.96%,292.8MiB / 30.66GiB,0.93%,0B / 0B,47MB / 98.3kB,37
2026-07-29 20:13:29,docker-recorder-run-55cb2554103c,0.00%,10.59MiB / 30.66GiB,0.03%,0B / 0B,25.2MB / 233kB,1
2026-07-29 20:13:29,ouster,16.31%,150.9MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:29,scovox,70.07%,299.2MiB / 30.66GiB,0.95%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:29,trav_ros2,112.55%,403.3MiB / 30.66GiB,1.28%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:29,realsense,20.47%,108.1MiB / 30.66GiB,0.34%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:29,openzen,6.28%,31.53MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:29,mapir-ffmpeg,29.82%,192.2MiB / 30.66GiB,0.61%,0B / 0B,44.2MB / 561kB,33
2026-07-29 20:13:29,nav2,13.67%,137.2MiB / 30.66GiB,0.44%,0B / 0B,35.9MB / 0B,92
2026-07-29 20:13:29,glim,72.17%,292.9MiB / 30.66GiB,0.93%,0B / 0B,47MB / 98.3kB,37
2026-07-29 20:13:32,docker-recorder-run-55cb2554103c,0.00%,10.59MiB / 30.66GiB,0.03%,0B / 0B,25.2MB / 233kB,1
2026-07-29 20:13:32,ouster,10.09%,151MiB / 30.66GiB,0.48%,0B / 0B,72.3MB / 111kB,30
2026-07-29 20:13:32,scovox,74.57%,259.7MiB / 30.66GiB,0.83%,0B / 0B,34MB / 176kB,53
2026-07-29 20:13:32,trav_ros2,110.06%,407.8MiB / 30.66GiB,1.30%,0B / 0B,36.9MB / 98.3kB,44
2026-07-29 20:13:32,realsense,26.47%,107.6MiB / 30.66GiB,0.34%,0B / 0B,31.6MB / 184kB,33
2026-07-29 20:13:32,openzen,5.14%,31.57MiB / 30.66GiB,0.10%,0B / 0B,18.4MB / 49.2kB,20
2026-07-29 20:13:32,mapir-ffmpeg,29.63%,192.3MiB / 30.66GiB,0.61%,0B / 0B,44.2MB / 561kB,33
