Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-31 10:03:16,ouster,86.55%,185.4MiB / 30.66GiB,0.59%,0B / 0B,179MB / 516kB,20
2026-07-31 10:03:16,realsense,121.51%,71.73MiB / 30.66GiB,0.23%,0B / 0B,48MB / 688kB,7
2026-07-31 10:03:16,scovox,128.91%,80.45MiB / 30.66GiB,0.26%,0B / 0B,68.2MB / 639kB,5
2026-07-31 10:03:16,domain_bridge,199.01%,49.43MiB / 30.66GiB,0.16%,0B / 0B,18.6MB / 131kB,12
2026-07-31 10:03:16,openzen,6.30%,85.15MiB / 30.66GiB,0.27%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:16,mapir-ffmpeg,89.10%,276.8MiB / 30.66GiB,0.88%,0B / 0B,187MB / 659kB,32
2026-07-31 10:03:16,nav2,76.82%,77.5MiB / 30.66GiB,0.25%,0B / 0B,75.6MB / 94.2kB,4
2026-07-31 10:03:16,glim,93.78%,70.77MiB / 30.66GiB,0.23%,0B / 0B,68.5MB / 86kB,8
2026-07-31 10:03:19,glim,8.76%,138.3MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 10:03:19,ouster,0.14%,201.2MiB / 30.66GiB,0.64%,0B / 0B,185MB / 516kB,27
2026-07-31 10:03:19,realsense,16.17%,177.9MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:19,scovox,4.97%,122.4MiB / 30.66GiB,0.39%,0B / 0B,96.7MB / 819kB,53
2026-07-31 10:03:19,domain_bridge,200.84%,63.61MiB / 30.66GiB,0.20%,0B / 0B,24.6MB / 225kB,6
2026-07-31 10:03:19,openzen,3.28%,87.12MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:19,mapir-ffmpeg,27.33%,330.2MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:19,nav2,5.77%,201.9MiB / 30.66GiB,0.64%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:22,glim,8.78%,137.9MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 10:03:22,ouster,0.05%,201MiB / 30.66GiB,0.64%,0B / 0B,185MB / 516kB,27
2026-07-31 10:03:22,realsense,15.36%,178MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:22,scovox,4.69%,122.7MiB / 30.66GiB,0.39%,0B / 0B,96.7MB / 819kB,53
2026-07-31 10:03:22,domain_bridge,100.16%,30.05MiB / 30.66GiB,0.10%,0B / 0B,28.2MB / 410kB,2
2026-07-31 10:03:22,openzen,3.08%,87.05MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:22,mapir-ffmpeg,26.81%,330.2MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:22,nav2,0.20%,201MiB / 30.66GiB,0.64%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:25,glim,9.11%,138.2MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 10:03:25,ouster,0.36%,202.9MiB / 30.66GiB,0.65%,0B / 0B,185MB / 516kB,27
2026-07-31 10:03:25,realsense,15.57%,178.2MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:25,scovox,4.72%,123.5MiB / 30.66GiB,0.39%,0B / 0B,96.7MB / 819kB,53
2026-07-31 10:03:25,domain_bridge,0.24%,57.36MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 410kB,28
2026-07-31 10:03:25,openzen,2.57%,86.58MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:25,mapir-ffmpeg,27.14%,330.7MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:25,nav2,0.26%,203MiB / 30.66GiB,0.65%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:28,glim,8.94%,137.3MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 10:03:28,ouster,0.06%,204MiB / 30.66GiB,0.65%,0B / 0B,185MB / 516kB,27
2026-07-31 10:03:28,realsense,15.63%,178.4MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:28,scovox,4.65%,123.8MiB / 30.66GiB,0.39%,0B / 0B,96.7MB / 819kB,53
2026-07-31 10:03:28,domain_bridge,0.05%,57.85MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 410kB,28
2026-07-31 10:03:28,openzen,2.60%,86.34MiB / 30.66GiB,0.27%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:28,mapir-ffmpeg,27.01%,329.9MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:28,nav2,0.11%,203.3MiB / 30.66GiB,0.65%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:31,glim,77.21%,277.7MiB / 30.66GiB,0.88%,0B / 0B,136MB / 139kB,35
2026-07-31 10:03:31,ouster,6.34%,244.6MiB / 30.66GiB,0.78%,0B / 0B,186MB / 516kB,30
2026-07-31 10:03:31,realsense,16.07%,178.2MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:31,scovox,4.19%,207MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 819kB,53
2026-07-31 10:03:31,domain_bridge,0.50%,57.37MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 410kB,28
2026-07-31 10:03:31,openzen,2.52%,86.42MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:31,mapir-ffmpeg,27.16%,329.8MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:31,nav2,0.46%,202.6MiB / 30.66GiB,0.65%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:34,glim,73.53%,350.9MiB / 30.66GiB,1.12%,0B / 0B,136MB / 139kB,35
2026-07-31 10:03:34,ouster,6.27%,244.9MiB / 30.66GiB,0.78%,0B / 0B,186MB / 516kB,30
2026-07-31 10:03:34,realsense,16.69%,178.2MiB / 30.66GiB,0.57%,0B / 0B,112MB / 782kB,33
2026-07-31 10:03:34,scovox,4.22%,207.1MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 819kB,53
2026-07-31 10:03:34,domain_bridge,0.15%,57.65MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 410kB,28
2026-07-31 10:03:34,openzen,2.71%,86.44MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.6MB,20
2026-07-31 10:03:34,mapir-ffmpeg,27.17%,330.1MiB / 30.66GiB,1.05%,0B / 0B,197MB / 659kB,33
2026-07-31 10:03:34,nav2,0.56%,203.2MiB / 30.66GiB,0.65%,0B / 0B,132MB / 94.2kB,90
2026-07-31 10:03:37,trav_ros2,93.20%,85.28MiB / 30.66GiB,0.27%,0B / 0B,80.9MB / 270kB,5
2026-07-31 10:03:37,glim,77.02%,356.4MiB / 30.66GiB,1.14%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:37,ouster,6.05%,244.7MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:37,realsense,16.37%,177.5MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:37,scovox,3.88%,206.6MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:37,domain_bridge,0.03%,57.21MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:37,openzen,2.96%,86.2MiB / 30.66GiB,0.27%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:37,mapir-ffmpeg,27.35%,329.1MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:37,nav2,0.62%,202.3MiB / 30.66GiB,0.64%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:37,docker-recorder-run-6c8796142c07,99.29%,32.02MiB / 30.66GiB,0.10%,0B / 0B,3.44MB / 0B,2
2026-07-31 10:03:40,docker-recorder-run-6c8796142c07,201.00%,45.41MiB / 30.66GiB,0.14%,0B / 0B,17.2MB / 57.3kB,10
2026-07-31 10:03:40,trav_ros2,8.21%,286.9MiB / 30.66GiB,0.91%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:40,glim,71.57%,356.5MiB / 30.66GiB,1.14%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:40,ouster,7.68%,245.1MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:40,realsense,17.02%,178.4MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:40,scovox,4.37%,208.6MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:40,domain_bridge,0.16%,57.97MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:40,openzen,3.39%,87.33MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:40,mapir-ffmpeg,27.82%,331.5MiB / 30.66GiB,1.06%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:40,nav2,1.46%,205.9MiB / 30.66GiB,0.66%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:43,docker-recorder-run-6c8796142c07,199.51%,50.78MiB / 30.66GiB,0.16%,0B / 0B,23.6MB / 156kB,11
2026-07-31 10:03:43,trav_ros2,8.16%,303.9MiB / 30.66GiB,0.97%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:43,glim,76.27%,357.9MiB / 30.66GiB,1.14%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:43,ouster,7.55%,245.3MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:43,realsense,16.73%,178.7MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:43,scovox,4.09%,208.2MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:43,domain_bridge,0.04%,57.98MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:43,openzen,3.36%,86.86MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:43,mapir-ffmpeg,27.60%,331MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:43,nav2,0.73%,205.4MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:46,docker-recorder-run-6c8796142c07,94.72%,18.77MiB / 30.66GiB,0.06%,0B / 0B,38.4MB / 365kB,2
2026-07-31 10:03:46,trav_ros2,8.66%,310.1MiB / 30.66GiB,0.99%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:46,glim,75.53%,352.6MiB / 30.66GiB,1.12%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:46,ouster,7.43%,245.5MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:46,realsense,16.78%,178.5MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:46,scovox,4.13%,208.7MiB / 30.66GiB,0.66%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:46,domain_bridge,0.16%,57.75MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:46,openzen,3.21%,86.87MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:46,mapir-ffmpeg,27.73%,331MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:46,nav2,0.68%,205.2MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:49,docker-recorder-run-6c8796142c07,0.00%,18.7MiB / 30.66GiB,0.06%,0B / 0B,38.4MB / 365kB,2
2026-07-31 10:03:49,trav_ros2,8.59%,304.4MiB / 30.66GiB,0.97%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:49,glim,75.52%,349.8MiB / 30.66GiB,1.11%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:49,ouster,7.03%,245.6MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:49,realsense,16.54%,178MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:49,scovox,4.48%,215.1MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:49,domain_bridge,0.18%,57.14MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:49,openzen,2.64%,86.89MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:49,mapir-ffmpeg,27.67%,331.3MiB / 30.66GiB,1.06%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:49,nav2,0.77%,205.3MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:52,docker-recorder-run-6c8796142c07,0.00%,18.7MiB / 30.66GiB,0.06%,0B / 0B,38.4MB / 365kB,2
2026-07-31 10:03:52,trav_ros2,8.41%,313.6MiB / 30.66GiB,1.00%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:52,glim,76.26%,368.8MiB / 30.66GiB,1.17%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:52,ouster,6.96%,244.8MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:52,realsense,16.28%,178MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:52,scovox,3.87%,214.5MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:52,domain_bridge,0.09%,57.14MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:52,openzen,2.76%,87.39MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:52,mapir-ffmpeg,27.41%,330.2MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:52,nav2,0.60%,205.2MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:55,docker-recorder-run-6c8796142c07,0.00%,18.46MiB / 30.66GiB,0.06%,0B / 0B,38.4MB / 365kB,2
2026-07-31 10:03:55,trav_ros2,8.24%,311.2MiB / 30.66GiB,0.99%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:55,glim,75.47%,371.6MiB / 30.66GiB,1.18%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:55,ouster,7.71%,244.9MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:55,realsense,16.44%,177.4MiB / 30.66GiB,0.56%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:55,scovox,9.65%,212.9MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:55,domain_bridge,0.39%,57.66MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:55,openzen,2.90%,86.98MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:55,mapir-ffmpeg,28.26%,331.7MiB / 30.66GiB,1.06%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:55,nav2,1.35%,204MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:03:58,docker-recorder-run-6c8796142c07,0.00%,18.51MiB / 30.66GiB,0.06%,0B / 0B,38.5MB / 365kB,1
2026-07-31 10:03:58,trav_ros2,7.67%,311.6MiB / 30.66GiB,0.99%,0B / 0B,119MB / 311kB,44
2026-07-31 10:03:58,glim,74.22%,371.1MiB / 30.66GiB,1.18%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:03:58,ouster,7.06%,244.7MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:03:58,realsense,16.14%,178.1MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:03:58,scovox,3.78%,212.2MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:03:58,domain_bridge,0.05%,57.18MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:03:58,openzen,2.68%,87MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:03:58,mapir-ffmpeg,28.07%,330MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:03:58,nav2,0.60%,202MiB / 30.66GiB,0.64%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:04:02,docker-recorder-run-6c8796142c07,0.00%,18.48MiB / 30.66GiB,0.06%,0B / 0B,38.5MB / 365kB,1
2026-07-31 10:04:02,trav_ros2,8.19%,310.6MiB / 30.66GiB,0.99%,0B / 0B,119MB / 311kB,44
2026-07-31 10:04:02,glim,71.85%,360MiB / 30.66GiB,1.15%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:04:02,ouster,6.99%,244.8MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:04:02,realsense,16.22%,178.1MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:04:02,scovox,3.96%,212.7MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:04:02,domain_bridge,0.08%,56.97MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:04:02,openzen,2.65%,86.76MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:04:02,mapir-ffmpeg,27.96%,329.3MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:04:02,nav2,0.61%,202MiB / 30.66GiB,0.64%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:04:05,docker-recorder-run-6c8796142c07,0.00%,18.48MiB / 30.66GiB,0.06%,0B / 0B,38.5MB / 365kB,1
2026-07-31 10:04:05,trav_ros2,7.85%,311.1MiB / 30.66GiB,0.99%,0B / 0B,119MB / 311kB,44
2026-07-31 10:04:05,glim,75.85%,375.9MiB / 30.66GiB,1.20%,0B / 0B,136MB / 11.7MB,35
2026-07-31 10:04:05,ouster,7.21%,245.8MiB / 30.66GiB,0.78%,0B / 0B,186MB / 3.26MB,30
2026-07-31 10:04:05,realsense,16.26%,178.7MiB / 30.66GiB,0.57%,0B / 0B,112MB / 3.78MB,33
2026-07-31 10:04:05,scovox,3.94%,213MiB / 30.66GiB,0.68%,0B / 0B,96.8MB / 4.04MB,53
2026-07-31 10:04:05,domain_bridge,0.16%,56.78MiB / 30.66GiB,0.18%,0B / 0B,31.6MB / 5.13MB,28
2026-07-31 10:04:05,openzen,2.75%,87.04MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 2.17MB,20
2026-07-31 10:04:05,mapir-ffmpeg,28.12%,330.1MiB / 30.66GiB,1.05%,0B / 0B,197MB / 1.38MB,33
2026-07-31 10:04:05,nav2,1.27%,203MiB / 30.66GiB,0.65%,0B / 0B,132MB / 1.17MB,90
2026-07-31 10:04:08,docker-recorder-run-6c8796142c07,0.00%,18.48MiB / 30.66GiB,0.06%,0B / 0B,38.5MB / 459kB,1
