Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-30 19:06:38,trav_ros2,101.34%,16.73MiB / 30.66GiB,0.05%,0B / 0B,0B / 238kB,2
2026-07-30 19:06:38,ouster,83.02%,103.4MiB / 30.66GiB,0.33%,0B / 0B,0B / 111kB,29
2026-07-30 19:06:38,glim,15.45%,48.92MiB / 30.66GiB,0.16%,0B / 0B,0B / 135kB,21
2026-07-30 19:06:38,openzen,4.91%,30.89MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,19
2026-07-30 19:06:38,scovox,112.99%,40.11MiB / 30.66GiB,0.13%,0B / 0B,0B / 102kB,5
2026-07-30 19:06:38,mapir-ffmpeg,93.66%,123.8MiB / 30.66GiB,0.39%,0B / 0B,0B / 582kB,32
2026-07-30 19:06:38,realsense,117.07%,43.25MiB / 30.66GiB,0.14%,0B / 0B,0B / 98.3kB,7
2026-07-30 19:06:38,nav2,101.03%,75.78MiB / 30.66GiB,0.24%,0B / 0B,0B / 0B,69
2026-07-30 19:06:38,docker-recorder-run-7d76177caf29,171.33%,45.11MiB / 30.66GiB,0.14%,0B / 0B,0B / 0B,18
2026-07-30 19:06:41,docker-recorder-run-7d76177caf29,202.38%,48.85MiB / 30.66GiB,0.16%,0B / 0B,0B / 61.4kB,15
2026-07-30 19:06:41,trav_ros2,10.55%,234.5MiB / 30.66GiB,0.75%,0B / 0B,0B / 238kB,44
2026-07-30 19:06:41,ouster,7.86%,116.5MiB / 30.66GiB,0.37%,0B / 0B,0B / 111kB,29
2026-07-30 19:06:41,glim,42.66%,88.64MiB / 30.66GiB,0.28%,0B / 0B,0B / 135kB,22
2026-07-30 19:06:41,openzen,3.24%,31.84MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,20
2026-07-30 19:06:41,scovox,4.89%,149.2MiB / 30.66GiB,0.48%,0B / 0B,0B / 176kB,53
2026-07-30 19:06:41,mapir-ffmpeg,28.90%,166MiB / 30.66GiB,0.53%,0B / 0B,0B / 582kB,33
2026-07-30 19:06:41,realsense,17.18%,91MiB / 30.66GiB,0.29%,0B / 0B,0B / 184kB,33
2026-07-30 19:06:41,nav2,0.54%,117MiB / 30.66GiB,0.37%,0B / 0B,0B / 0B,90
2026-07-30 19:06:44,docker-recorder-run-7d76177caf29,203.14%,44.38MiB / 30.66GiB,0.14%,0B / 0B,0B / 1.47MB,11
2026-07-30 19:06:44,ouster,8.39%,116.8MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-30 19:06:44,glim,82.54%,156.3MiB / 30.66GiB,0.50%,0B / 0B,0B / 11.6MB,37
2026-07-30 19:06:44,openzen,3.62%,32.25MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 19:06:44,scovox,10.28%,144MiB / 30.66GiB,0.46%,0B / 0B,0B / 3.4MB,53
2026-07-30 19:06:44,mapir-ffmpeg,30.16%,166.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-30 19:06:44,realsense,17.43%,91.44MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 19:06:44,nav2,5.98%,121.1MiB / 30.66GiB,0.39%,0B / 0B,0B / 1.16MB,93
2026-07-30 19:06:47,docker-recorder-run-7d76177caf29,0.00%,10.5MiB / 30.66GiB,0.03%,0B / 0B,0B / 1.64MB,2
2026-07-30 19:06:47,ouster,8.50%,116.6MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-30 19:06:47,glim,76.08%,253.4MiB / 30.66GiB,0.81%,0B / 0B,0B / 11.6MB,37
2026-07-30 19:06:47,openzen,3.36%,32.99MiB / 30.66GiB,0.11%,0B / 0B,0B / 2.15MB,20
2026-07-30 19:06:47,scovox,72.12%,217.1MiB / 30.66GiB,0.69%,0B / 0B,0B / 3.4MB,53
2026-07-30 19:06:47,mapir-ffmpeg,29.81%,165.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-30 19:06:47,realsense,17.36%,91MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 19:06:47,nav2,6.52%,122MiB / 30.66GiB,0.39%,0B / 0B,0B / 1.16MB,93
2026-07-30 19:06:50,docker-recorder-run-7d76177caf29,0.00%,10.5MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.53MB,2
2026-07-30 19:06:50,ouster,6.03%,116MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-30 19:06:50,glim,75.24%,278.9MiB / 30.66GiB,0.89%,0B / 0B,0B / 11.6MB,37
2026-07-30 19:06:50,openzen,2.80%,32.09MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 19:06:50,scovox,63.02%,233.1MiB / 30.66GiB,0.74%,0B / 0B,0B / 3.42MB,53
2026-07-30 19:06:50,mapir-ffmpeg,28.80%,164.8MiB / 30.66GiB,0.52%,0B / 0B,0B / 1.28MB,33
2026-07-30 19:06:50,realsense,16.60%,91.5MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 19:06:50,nav2,3.44%,120.2MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.18MB,93
2026-07-30 19:06:50,foxglove,100.95%,40.68MiB / 30.66GiB,0.13%,0B / 0B,0B / 65.5kB,8
2026-07-30 19:06:54,foxglove,101.13%,504MiB / 30.66GiB,1.61%,0B / 0B,0B / 127kB,31
2026-07-30 19:06:54,docker-recorder-run-7d76177caf29,0.00%,10.5MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.53MB,2
2026-07-30 19:06:54,ouster,6.68%,116.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-30 19:06:54,glim,74.31%,294.2MiB / 30.66GiB,0.94%,0B / 0B,0B / 11.6MB,37
2026-07-30 19:06:54,openzen,2.86%,32.27MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 19:06:54,scovox,57.41%,241.9MiB / 30.66GiB,0.77%,0B / 0B,0B / 3.42MB,53
2026-07-30 19:06:54,mapir-ffmpeg,28.63%,165.2MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-30 19:06:54,realsense,16.36%,90.8MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 19:06:54,nav2,3.38%,116MiB / 30.66GiB,0.37%,0B / 0B,0B / 1.18MB,93
2026-07-30 19:06:58,foxglove,12.67%,441.9MiB / 30.66GiB,1.41%,0B / 0B,0B / 127kB,31
2026-07-30 19:06:58,docker-recorder-run-7d76177caf29,0.00%,10.55MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.53MB,1
