Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-30 20:28:56,ouster,99.21%,31.94MiB / 30.66GiB,0.10%,0B / 0B,131kB / 111kB,4
2026-07-30 20:28:56,scovox,127.06%,38.59MiB / 30.66GiB,0.12%,0B / 0B,0B / 94.2kB,5
2026-07-30 20:28:56,openzen,23.05%,30.77MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,20
2026-07-30 20:28:56,trav_ros2,101.97%,37.8MiB / 30.66GiB,0.12%,0B / 0B,0B / 0B,5
2026-07-30 20:28:56,realsense,100.36%,38.9MiB / 30.66GiB,0.12%,0B / 0B,0B / 36.9kB,5
2026-07-30 20:28:56,mapir-ffmpeg,118.60%,124MiB / 30.66GiB,0.39%,0B / 0B,0B / 541kB,32
2026-07-30 20:28:56,nav2,56.56%,110MiB / 30.66GiB,0.35%,0B / 0B,0B / 0B,90
2026-07-30 20:28:56,glim,42.78%,48.82MiB / 30.66GiB,0.16%,0B / 0B,0B / 135kB,21
2026-07-30 20:28:56,docker-recorder-run-c43348258146,150.13%,69.81MiB / 30.66GiB,0.22%,0B / 0B,0B / 0B,19
2026-07-30 20:28:59,docker-recorder-run-c43348258146,198.60%,44.03MiB / 30.66GiB,0.14%,0B / 0B,0B / 61.4kB,15
2026-07-30 20:28:59,ouster,7.52%,116.2MiB / 30.66GiB,0.37%,0B / 0B,131kB / 111kB,29
2026-07-30 20:28:59,scovox,13.15%,149.1MiB / 30.66GiB,0.47%,0B / 0B,0B / 229kB,53
2026-07-30 20:28:59,openzen,3.89%,31.57MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,20
2026-07-30 20:28:59,trav_ros2,99.75%,750.1MiB / 30.66GiB,2.39%,0B / 0B,0B / 61.4kB,9
2026-07-30 20:28:59,realsense,17.92%,90.82MiB / 30.66GiB,0.29%,0B / 0B,0B / 184kB,33
2026-07-30 20:28:59,mapir-ffmpeg,29.17%,165.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 541kB,33
2026-07-30 20:28:59,nav2,6.81%,117.8MiB / 30.66GiB,0.38%,0B / 0B,0B / 0B,93
2026-07-30 20:28:59,glim,40.82%,88.05MiB / 30.66GiB,0.28%,0B / 0B,0B / 135kB,22
2026-07-30 20:29:03,docker-recorder-run-c43348258146,200.78%,43.62MiB / 30.66GiB,0.14%,0B / 0B,0B / 61.4kB,10
2026-07-30 20:29:03,ouster,6.56%,116.6MiB / 30.66GiB,0.37%,0B / 0B,131kB / 111kB,29
2026-07-30 20:29:03,scovox,29.84%,161MiB / 30.66GiB,0.51%,0B / 0B,0B / 229kB,53
2026-07-30 20:29:03,openzen,3.45%,31.84MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,20
2026-07-30 20:29:03,trav_ros2,100.40%,1.257GiB / 30.66GiB,4.10%,0B / 0B,0B / 61.4kB,9
2026-07-30 20:29:03,realsense,17.13%,90.65MiB / 30.66GiB,0.29%,0B / 0B,0B / 184kB,33
2026-07-30 20:29:03,mapir-ffmpeg,28.34%,166MiB / 30.66GiB,0.53%,0B / 0B,0B / 541kB,33
2026-07-30 20:29:03,nav2,3.92%,116.9MiB / 30.66GiB,0.37%,0B / 0B,0B / 0B,93
2026-07-30 20:29:03,glim,80.94%,225.5MiB / 30.66GiB,0.72%,0B / 0B,0B / 135kB,37
2026-07-30 20:29:06,docker-recorder-run-c43348258146,1.83%,10.68MiB / 30.66GiB,0.03%,0B / 0B,0B / 5.4MB,2
2026-07-30 20:29:06,ouster,6.31%,116.3MiB / 30.66GiB,0.37%,0B / 0B,131kB / 2.85MB,29
2026-07-30 20:29:06,scovox,52.16%,257.4MiB / 30.66GiB,0.82%,0B / 0B,0B / 3.43MB,53
2026-07-30 20:29:06,openzen,3.11%,31.87MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 20:29:06,trav_ros2,101.02%,1.454GiB / 30.66GiB,4.74%,0B / 0B,0B / 553kB,9
2026-07-30 20:29:06,realsense,16.91%,90.67MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 20:29:06,mapir-ffmpeg,27.86%,166.1MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
2026-07-30 20:29:06,nav2,3.76%,117.4MiB / 30.66GiB,0.37%,0B / 0B,0B / 1.16MB,93
2026-07-30 20:29:06,glim,79.49%,291.5MiB / 30.66GiB,0.93%,0B / 0B,0B / 11.6MB,37
2026-07-30 20:29:06,foxglove,101.04%,39.13MiB / 30.66GiB,0.12%,0B / 0B,0B / 4.1kB,5
2026-07-30 20:29:09,foxglove,101.07%,550.3MiB / 30.66GiB,1.75%,0B / 0B,0B / 127kB,30
2026-07-30 20:29:09,docker-recorder-run-c43348258146,0.00%,10.49MiB / 30.66GiB,0.03%,0B / 0B,0B / 5.4MB,2
2026-07-30 20:29:09,ouster,6.05%,116.4MiB / 30.66GiB,0.37%,0B / 0B,131kB / 2.85MB,29
2026-07-30 20:29:09,scovox,72.29%,214.5MiB / 30.66GiB,0.68%,0B / 0B,0B / 3.43MB,53
2026-07-30 20:29:09,openzen,2.17%,31.49MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 20:29:09,trav_ros2,101.10%,1.757GiB / 30.66GiB,5.73%,0B / 0B,0B / 553kB,9
2026-07-30 20:29:09,realsense,16.01%,90.82MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 20:29:09,mapir-ffmpeg,28.72%,164.3MiB / 30.66GiB,0.52%,0B / 0B,0B / 1.27MB,33
2026-07-30 20:29:09,nav2,3.51%,118.6MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.16MB,93
2026-07-30 20:29:09,glim,74.74%,292.1MiB / 30.66GiB,0.93%,0B / 0B,0B / 11.6MB,37
2026-07-30 20:29:12,foxglove,14.54%,438.2MiB / 30.66GiB,1.40%,0B / 0B,0B / 127kB,31
2026-07-30 20:29:12,docker-recorder-run-c43348258146,0.00%,10.49MiB / 30.66GiB,0.03%,0B / 0B,0B / 5.4MB,2
2026-07-30 20:29:12,ouster,6.60%,114.7MiB / 30.66GiB,0.37%,0B / 0B,131kB / 2.85MB,29
2026-07-30 20:29:12,scovox,51.42%,262MiB / 30.66GiB,0.83%,0B / 0B,0B / 3.43MB,53
2026-07-30 20:29:12,openzen,2.50%,30.89MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 20:29:12,trav_ros2,101.29%,1.853GiB / 30.66GiB,6.04%,0B / 0B,0B / 553kB,9
2026-07-30 20:29:12,realsense,16.96%,90.85MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-30 20:29:12,mapir-ffmpeg,28.61%,164.6MiB / 30.66GiB,0.52%,0B / 0B,0B / 1.27MB,33
2026-07-30 20:29:12,nav2,4.04%,118MiB / 30.66GiB,0.38%,0B / 0B,0B / 1.16MB,93
2026-07-30 20:29:12,glim,77.09%,291.5MiB / 30.66GiB,0.93%,0B / 0B,0B / 11.6MB,37
2026-07-30 20:29:15,foxglove,15.17%,438.4MiB / 30.66GiB,1.40%,0B / 0B,0B / 127kB,31
2026-07-30 20:29:15,docker-recorder-run-c43348258146,0.63%,10.54MiB / 30.66GiB,0.03%,0B / 0B,0B / 5.4MB,1
2026-07-30 20:29:15,ouster,6.36%,114.6MiB / 30.66GiB,0.36%,0B / 0B,131kB / 2.85MB,29
2026-07-30 20:29:15,scovox,73.08%,227.7MiB / 30.66GiB,0.73%,0B / 0B,0B / 3.43MB,53
2026-07-30 20:29:15,openzen,2.42%,30.91MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-30 20:29:15,trav_ros2,100.76%,1.936GiB / 30.66GiB,6.31%,0B / 0B,0B / 553kB,9
