Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-31 00:14:38,ouster,66.77%,110MiB / 30.66GiB,0.35%,0B / 0B,0B / 1.39MB,29
2026-07-31 00:14:38,domain_bridge,202.88%,42.61MiB / 30.66GiB,0.14%,0B / 0B,0B / 102kB,12
2026-07-31 00:14:38,realsense,129.59%,44.59MiB / 30.66GiB,0.14%,0B / 0B,0B / 242kB,7
2026-07-31 00:14:38,mapir-ffmpeg,81.83%,124.5MiB / 30.66GiB,0.40%,0B / 0B,0B / 864kB,32
2026-07-31 00:14:38,scovox,247.90%,59.56MiB / 30.66GiB,0.19%,0B / 0B,0B / 700kB,6
2026-07-31 00:14:38,openzen,2.78%,31.35MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,19
2026-07-31 00:14:38,nav2,97.83%,90.69MiB / 30.66GiB,0.29%,0B / 0B,0B / 1.13MB,78
2026-07-31 00:14:38,glim,120.66%,40.43MiB / 30.66GiB,0.13%,0B / 0B,0B / 49.2kB,5
2026-07-31 00:14:41,docker-recorder-run-dfb44aee8c91,97.94%,70.34MiB / 30.66GiB,0.22%,0B / 0B,0B / 0B,19
2026-07-31 00:14:41,glim,43.52%,88.65MiB / 30.66GiB,0.28%,0B / 0B,0B / 11MB,20
2026-07-31 00:14:41,ouster,6.97%,116.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:41,domain_bridge,105.08%,42.37MiB / 30.66GiB,0.13%,0B / 0B,0B / 709kB,7
2026-07-31 00:14:41,realsense,16.82%,91.99MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:41,mapir-ffmpeg,28.54%,166.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:41,scovox,6.79%,151.5MiB / 30.66GiB,0.48%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:41,openzen,3.40%,32.27MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:41,nav2,0.88%,119MiB / 30.66GiB,0.38%,0B / 0B,1.67MB / 1.13MB,90
2026-07-31 00:14:45,docker-recorder-run-dfb44aee8c91,102.62%,42.55MiB / 30.66GiB,0.14%,0B / 0B,0B / 0B,11
2026-07-31 00:14:45,glim,84.85%,162.8MiB / 30.66GiB,0.52%,0B / 0B,0B / 11MB,35
2026-07-31 00:14:45,ouster,7.50%,116.9MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:45,domain_bridge,103.02%,40.75MiB / 30.66GiB,0.13%,0B / 0B,0B / 770kB,6
2026-07-31 00:14:45,realsense,17.37%,91.52MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:45,mapir-ffmpeg,28.55%,166.5MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:45,scovox,8.50%,137.9MiB / 30.66GiB,0.44%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:45,openzen,3.61%,32.23MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:45,nav2,5.56%,122MiB / 30.66GiB,0.39%,0B / 0B,1.67MB / 1.13MB,93
2026-07-31 00:14:48,docker-recorder-run-dfb44aee8c91,125.87%,49.24MiB / 30.66GiB,0.16%,0B / 0B,0B / 61.4kB,15
2026-07-31 00:14:48,glim,80.61%,262.8MiB / 30.66GiB,0.84%,0B / 0B,0B / 11MB,35
2026-07-31 00:14:48,ouster,7.03%,115.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:48,domain_bridge,78.75%,55.25MiB / 30.66GiB,0.18%,0B / 0B,0B / 836kB,8
2026-07-31 00:14:48,realsense,17.28%,91.52MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:48,mapir-ffmpeg,28.70%,164.8MiB / 30.66GiB,0.52%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:48,scovox,68.15%,193.8MiB / 30.66GiB,0.62%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:48,openzen,3.29%,32.11MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:48,nav2,4.12%,119.1MiB / 30.66GiB,0.38%,0B / 0B,1.67MB / 1.13MB,93
2026-07-31 00:14:51,docker-recorder-run-dfb44aee8c91,113.54%,42.8MiB / 30.66GiB,0.14%,0B / 0B,0B / 61.4kB,11
2026-07-31 00:14:51,glim,78.50%,271MiB / 30.66GiB,0.86%,0B / 0B,0B / 11MB,35
2026-07-31 00:14:51,ouster,6.80%,115.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:51,domain_bridge,88.44%,28.56MiB / 30.66GiB,0.09%,0B / 0B,0B / 872kB,4
2026-07-31 00:14:51,realsense,16.93%,91.26MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:51,mapir-ffmpeg,28.00%,164.4MiB / 30.66GiB,0.52%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:51,scovox,52.70%,230.6MiB / 30.66GiB,0.73%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:51,openzen,3.08%,31.14MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:51,nav2,3.44%,119.4MiB / 30.66GiB,0.38%,0B / 0B,1.67MB / 1.13MB,93
2026-07-31 00:14:54,docker-recorder-run-dfb44aee8c91,191.21%,41.86MiB / 30.66GiB,0.13%,0B / 0B,0B / 184kB,9
2026-07-31 00:14:54,glim,80.38%,274.8MiB / 30.66GiB,0.88%,0B / 0B,0B / 11MB,35
2026-07-31 00:14:54,ouster,7.31%,115.1MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:54,domain_bridge,0.96%,49.07MiB / 30.66GiB,0.16%,0B / 0B,0B / 872kB,28
2026-07-31 00:14:54,realsense,17.27%,90.73MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:54,mapir-ffmpeg,28.41%,165.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:54,scovox,73.56%,234.9MiB / 30.66GiB,0.75%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:54,openzen,3.55%,31.44MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:54,nav2,4.34%,117.3MiB / 30.66GiB,0.37%,0B / 0B,1.67MB / 1.13MB,93
2026-07-31 00:14:57,docker-recorder-run-dfb44aee8c91,0.00%,10.51MiB / 30.66GiB,0.03%,0B / 0B,0B / 233kB,2
2026-07-31 00:14:57,glim,77.23%,279.7MiB / 30.66GiB,0.89%,0B / 0B,0B / 11MB,35
2026-07-31 00:14:57,ouster,6.51%,115.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.01MB,29
2026-07-31 00:14:57,domain_bridge,0.06%,47.38MiB / 30.66GiB,0.15%,0B / 0B,0B / 872kB,28
2026-07-31 00:14:57,realsense,16.58%,90.75MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.31MB,33
2026-07-31 00:14:57,mapir-ffmpeg,27.88%,165.3MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.3MB,33
2026-07-31 00:14:57,scovox,48.99%,270.9MiB / 30.66GiB,0.86%,0B / 0B,0B / 1.88MB,53
2026-07-31 00:14:57,openzen,3.14%,31.47MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-31 00:14:57,nav2,3.33%,117MiB / 30.66GiB,0.37%,0B / 0B,1.67MB / 1.13MB,93
2026-07-31 00:15:00,docker-recorder-run-dfb44aee8c91,0.00%,10.51MiB / 30.66GiB,0.03%,0B / 0B,0B / 233kB,2
