Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-31 11:03:30,ouster,98.64%,94.25MiB / 30.66GiB,0.30%,0B / 0B,116MB / 532kB,4
2026-07-31 11:03:30,realsense,102.07%,63.62MiB / 30.66GiB,0.20%,0B / 0B,40.1MB / 590kB,5
2026-07-31 11:03:30,mapir-ffmpeg,105.03%,178MiB / 30.66GiB,0.57%,0B / 0B,132MB / 647kB,20
2026-07-31 11:03:30,domain_bridge,93.77%,33.16MiB / 30.66GiB,0.11%,0B / 0B,6.06MB / 0B,2
2026-07-31 11:03:30,openzen,45.64%,85.04MiB / 30.66GiB,0.27%,0B / 0B,82.2MB / 1.58MB,20
2026-07-31 11:03:30,scovox,181.47%,79.79MiB / 30.66GiB,0.25%,0B / 0B,71.2MB / 311kB,5
2026-07-31 11:03:30,nav2,87.90%,175.1MiB / 30.66GiB,0.56%,0B / 0B,116MB / 94.2kB,89
2026-07-31 11:03:30,glim,106.64%,43.25MiB / 30.66GiB,0.14%,0B / 0B,71.2MB / 139kB,2
2026-07-31 11:03:34,glim,11.92%,137.4MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 11:03:34,ouster,0.18%,201.4MiB / 30.66GiB,0.64%,0B / 0B,185MB / 532kB,27
2026-07-31 11:03:34,realsense,16.32%,176.9MiB / 30.66GiB,0.56%,0B / 0B,111MB / 778kB,33
2026-07-31 11:03:34,mapir-ffmpeg,0.13%,281.6MiB / 30.66GiB,0.90%,0B / 0B,190MB / 647kB,33
2026-07-31 11:03:34,domain_bridge,201.75%,72.64MiB / 30.66GiB,0.23%,0B / 0B,22.9MB / 360kB,13
2026-07-31 11:03:34,openzen,3.25%,87.25MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.58MB,20
2026-07-31 11:03:34,scovox,5.62%,123MiB / 30.66GiB,0.39%,0B / 0B,99.7MB / 492kB,53
2026-07-31 11:03:34,nav2,4.03%,203MiB / 30.66GiB,0.65%,0B / 0B,132MB / 94.2kB,89
2026-07-31 11:03:37,glim,11.92%,138.4MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
2026-07-31 11:03:37,ouster,0.77%,200.8MiB / 30.66GiB,0.64%,0B / 0B,185MB / 532kB,27
2026-07-31 11:03:37,realsense,16.10%,176.5MiB / 30.66GiB,0.56%,0B / 0B,111MB / 778kB,33
2026-07-31 11:03:37,mapir-ffmpeg,0.79%,282.1MiB / 30.66GiB,0.90%,0B / 0B,190MB / 647kB,33
2026-07-31 11:03:37,domain_bridge,101.15%,58.35MiB / 30.66GiB,0.19%,0B / 0B,28.5MB / 446kB,28
2026-07-31 11:03:37,openzen,3.36%,86.76MiB / 30.66GiB,0.28%,0B / 0B,82.2MB / 1.58MB,20
2026-07-31 11:03:37,scovox,7.19%,231.3MiB / 30.66GiB,0.74%,0B / 0B,99.7MB / 492kB,53
2026-07-31 11:03:37,nav2,0.16%,202MiB / 30.66GiB,0.64%,0B / 0B,132MB / 94.2kB,89
2026-07-31 11:03:40,glim,10.36%,138.1MiB / 30.66GiB,0.44%,0B / 0B,134MB / 139kB,19
