2026-07-29 20:07:24,trav_ros2,112.41%,397.7MiB / 30.66GiB,1.27%,0B / 0B,0B / 98.3kB,44
2026-07-29 20:07:24,realsense,18.08%,91.57MiB / 30.66GiB,0.29%,0B / 0B,0B / 184kB,33
2026-07-29 20:07:24,glim,72.30%,284.9MiB / 30.66GiB,0.91%,0B / 0B,139kB / 135kB,37
2026-07-29 20:07:24,nav2,14.08%,126.5MiB / 30.66GiB,0.40%,0B / 0B,0B / 0B,92
2026-07-29 20:07:27,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 233kB,1
2026-07-29 20:07:27,ouster,6.17%,116.2MiB / 30.66GiB,0.37%,0B / 0B,0B / 111kB,29
2026-07-29 20:07:27,mapir-ffmpeg,32.09%,164.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 324kB,33
2026-07-29 20:07:27,openzen,4.67%,31MiB / 30.66GiB,0.10%,0B / 0B,0B / 49.2kB,20
2026-07-29 20:07:27,trav_ros2,119.29%,400.2MiB / 30.66GiB,1.27%,0B / 0B,0B / 98.3kB,44
2026-07-29 20:07:27,realsense,17.97%,91.12MiB / 30.66GiB,0.29%,0B / 0B,0B / 184kB,33
2026-07-29 20:07:27,glim,74.24%,287.3MiB / 30.66GiB,0.91%,0B / 0B,139kB / 135kB,37
2026-07-29 20:07:27,nav2,13.07%,126.2MiB / 30.66GiB,0.40%,0B / 0B,0B / 0B,92
2026-07-29 20:07:30,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:30,ouster,18.74%,116.6MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:30,mapir-ffmpeg,45.61%,164.9MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-29 20:07:30,openzen,4.92%,31MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:30,trav_ros2,113.12%,398.7MiB / 30.66GiB,1.27%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:30,realsense,18.13%,91.12MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:30,glim,67.25%,291.4MiB / 30.66GiB,0.93%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:30,nav2,13.05%,126MiB / 30.66GiB,0.40%,0B / 0B,0B / 0B,92
2026-07-29 20:07:33,scovox,73.49%,58.6MiB / 30.66GiB,0.19%,0B / 0B,0B / 176kB,40
2026-07-29 20:07:33,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:33,ouster,9.60%,118.1MiB / 30.66GiB,0.38%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:33,mapir-ffmpeg,32.44%,166.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-29 20:07:33,openzen,5.96%,32.38MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:33,trav_ros2,117.16%,399.8MiB / 30.66GiB,1.27%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:33,realsense,46.74%,92.57MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:33,glim,77.35%,296.5MiB / 30.66GiB,0.94%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:33,nav2,14.41%,125.9MiB / 30.66GiB,0.40%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:36,scovox,1.03%,58.01MiB / 30.66GiB,0.18%,0B / 0B,0B / 176kB,40
2026-07-29 20:07:36,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:36,ouster,9.70%,117MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:36,mapir-ffmpeg,36.39%,166.1MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-29 20:07:36,openzen,4.54%,31.61MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:36,trav_ros2,112.81%,401.1MiB / 30.66GiB,1.28%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:36,realsense,20.33%,91.72MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
2026-07-29 20:07:36,glim,74.08%,297.4MiB / 30.66GiB,0.95%,0B / 0B,139kB / 11.6MB,37
2026-07-29 20:07:36,nav2,13.01%,128.7MiB / 30.66GiB,0.41%,0B / 0B,0B / 1.16MB,92
2026-07-29 20:07:39,scovox,0.40%,57.79MiB / 30.66GiB,0.18%,0B / 0B,0B / 176kB,40
2026-07-29 20:07:39,docker-recorder-run-d28519123b03,0.00%,10.31MiB / 30.66GiB,0.03%,0B / 0B,0B / 9.45MB,1
2026-07-29 20:07:39,ouster,8.20%,116.6MiB / 30.66GiB,0.37%,0B / 0B,0B / 2.85MB,29
2026-07-29 20:07:39,mapir-ffmpeg,34.40%,165.6MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.28MB,33
2026-07-29 20:07:39,openzen,4.57%,31.6MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.15MB,20
2026-07-29 20:07:39,trav_ros2,113.49%,397.5MiB / 30.66GiB,1.27%,0B / 0B,0B / 1.58MB,44
2026-07-29 20:07:39,realsense,39.22%,91.99MiB / 30.66GiB,0.29%,0B / 0B,0B / 3.2MB,33
