Timestamp,Name,CPU_Perc,Mem_Usage,Mem_Perc,Net_IO,Block_IO,PIDs
2026-07-30 23:56:39,ouster,18.58%,112.6MiB / 30.66GiB,0.36%,0B / 0B,0B / 3.08MB,30
2026-07-30 23:56:39,domain_bridge,183.35%,49.1MiB / 30.66GiB,0.16%,0B / 0B,0B / 700kB,11
2026-07-30 23:56:39,openzen,0.84%,30.52MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,19
2026-07-30 23:56:39,realsense,140.56%,17.45MiB / 30.66GiB,0.06%,0B / 0B,0B / 2.29MB,2
2026-07-30 23:56:39,mapir-ffmpeg,13.16%,124.8MiB / 30.66GiB,0.40%,0B / 0B,0B / 1.27MB,32
2026-07-30 23:56:39,scovox,165.23%,44.19MiB / 30.66GiB,0.14%,0B / 0B,0B / 2.22MB,6
2026-07-30 23:56:39,nav2,4.61%,110.3MiB / 30.66GiB,0.35%,0B / 0B,0B / 1.13MB,90
2026-07-30 23:56:39,glim,111.03%,40.19MiB / 30.66GiB,0.13%,0B / 0B,0B / 11MB,5
2026-07-30 23:56:39,docker-recorder-run-f99524ce5471,82.42%,23.85MiB / 30.66GiB,0.08%,0B / 0B,0B / 0B,2
2026-07-30 23:56:44,docker-recorder-run-f99524ce5471,55.36%,43.6MiB / 30.66GiB,0.14%,0B / 0B,0B / 0B,18
2026-07-30 23:56:44,glim,47.62%,101MiB / 30.66GiB,0.32%,0B / 0B,0B / 11MB,35
2026-07-30 23:56:44,ouster,7.04%,116.3MiB / 30.66GiB,0.37%,0B / 0B,0B / 3.08MB,30
2026-07-30 23:56:44,domain_bridge,146.68%,42.46MiB / 30.66GiB,0.14%,0B / 0B,0B / 700kB,6
2026-07-30 23:56:44,openzen,3.39%,31.65MiB / 30.66GiB,0.10%,0B / 0B,0B / 2.14MB,20
2026-07-30 23:56:44,realsense,17.04%,91.14MiB / 30.66GiB,0.29%,0B / 0B,0B / 2.29MB,33
2026-07-30 23:56:44,mapir-ffmpeg,28.52%,165.7MiB / 30.66GiB,0.53%,0B / 0B,0B / 1.27MB,33
